,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
Year,0.038391209,-0.057890528,0.07833811,-0.273527534,0.502284919,-0.172626991,0.021193655,-0.078557127,0.104502092,-0.096770867,-0.161169096,-0.236775142,0.085347471,-0.540503242,0.472579002,0.020686417,-1.59E-15,2.91E-17,2.62E-16
Gender,0.427567503,-0.060413422,0.103584295,0.261980067,-0.014301345,0.055808187,-0.047920807,-0.042746666,-0.032094605,0.016227373,-0.03122187,-0.059486438,-0.111188144,-0.020122949,0.126408228,-0.831971523,-8.80E-16,4.86E-17,-2.41E-17
Employer.Boston MA,-0.532929362,0.053257841,-0.005022082,0.302008444,0.028789102,-0.176239701,0.040590541,0.006385464,0.123108582,0.04619411,-0.021504388,0.063514564,-0.170098336,-0.302396101,-0.169873977,-0.201605483,-0.561897847,0.237742759,0.066499723
Employer.Brockton MA,0.001608275,-0.11536131,0.166826041,-0.258694197,0.11480393,-0.169835888,0.474806137,0.198571129,0.287107158,0.080971567,0.039222846,0.403470535,-0.079085159,0.427187216,0.311638843,-0.09463313,-0.175889177,0.074419894,0.020816206
Employer.Cambridge MA,-0.036640316,0.023995439,-0.095632904,-0.29085853,0.586010466,0.04433958,-0.265646545,-0.15365286,-0.095113448,-0.071611325,-0.012790284,-0.209681894,-0.014656267,0.465437971,-0.328384224,-0.149419609,-0.223269111,0.094466663,0.026423547
Employer.Lynn MA,0.569984026,-0.135366369,-0.011099275,0.199855422,-0.055001515,0.03545601,-0.112550731,-0.058410276,-0.042497972,0.000485567,0.038808597,-0.063386122,-0.096762701,0.037252405,0.15416755,0.417294058,-0.564659044,0.23891104,0.066826506
Employer.Springfield MA,-0.04136099,0.175303427,0.003133192,-0.491033186,-0.388446431,0.282399317,0.047196824,0.082092402,-0.212384764,-0.069854546,-0.039582251,-0.068609991,0.477599518,-0.086090648,0.076758693,-0.206395369,-0.350499387,0.148298649,0.041481049
Job.Title.Lieutenant,-0.12457037,-0.126228945,0.029750448,-0.115141112,0.071458581,0.010068668,0.080567053,-0.138478107,-0.672805619,0.489356603,0.277618368,0.074886475,-0.250731486,-0.066750418,0.174479423,-0.004124648,-0.089076813,-0.206965305,-0.012745418
Job.Title.Sergeant,-0.232176449,-0.224531388,0.121197979,-0.048615976,-0.063944992,0.538243076,-0.408196627,-0.037512212,0.38955079,0.069790826,0.055626333,0.016640595,-0.15366768,0.051111891,0.261378843,0.001478695,-0.158993278,-0.369412546,-0.022749307
Job.Title.Captain,-0.072972217,-0.064441466,0.021353154,-0.092002612,-0.139950174,-0.00872435,0.186096011,0.517116221,-0.124670037,-0.306653796,0.014631575,-0.562392935,-0.460026756,0.076956864,0.023199427,0.00703125,-0.049432733,-0.114854364,-0.007073006
Job.Title.Officer,0.166440667,0.475390235,-0.509542358,0.040143079,0.084969679,-0.056029075,0.149943201,0.039865199,0.103276498,0.007077264,-0.01252579,0.075721653,0.00383444,-0.034882926,0.014190373,-0.021989356,-0.259455917,-0.602832221,-0.037123849
Job.Title.Detective,-0.219304668,-0.104382103,0.217461138,0.30707282,-0.100599966,-0.373762996,-0.074304087,-0.198001815,-0.199237964,-0.267605972,-0.090097213,-0.161007767,0.376228116,0.337516255,0.282959382,0.011662089,-0.138913703,-0.322758706,-0.019876252
Job.Title.Others,0.215119872,-0.321088826,0.431293072,-0.16672365,0.008421248,-0.120032379,0.130039546,0.032329211,0.069291788,-0.002492708,-0.005769165,0.064052426,0.114492682,-0.239717357,-0.559322004,0.016150415,-0.181632944,-0.422014623,-0.025988669
Job.Title.Commissioner,-0.003954449,-0.014234845,0.005598829,-0.054205793,0.078894296,0.106784265,-0.142509056,0.012354092,-0.331258691,-0.664896093,-0.083556471,0.573113681,-0.234845026,-0.118110178,0.033069792,-0.002755036,-0.01401034,-0.03255229,-0.002004648
Job.Title.Director,-0.006530713,-0.010667889,0.033184791,0.027654762,0.000743976,0.039566514,-0.092198105,0.211485327,-0.159435909,0.306125712,-0.895221561,0.084537237,-0.068962011,0.075489166,-0.005876954,0.053513986,-0.018221968,-0.042337787,-0.002607262
Race.White,-0.037064991,-0.537008601,-0.490727439,-0.025367832,-0.053328708,-0.024237281,0.086586844,-0.025657998,0.005014969,-0.042868318,-0.057030374,0.004888629,0.099701736,-0.022323796,-0.023827911,-0.069161675,-0.051182891,0.062399926,-0.655561936
Race.Black,-0.026607593,0.304293889,0.359889147,0.282476803,0.260856558,0.457356281,0.357983916,-0.037031656,-0.084124173,-0.048637938,-0.01297478,-0.06885934,0.080554715,0.022260134,-0.012865981,0.099913071,-0.039447877,0.048093115,-0.505257252
Race.Hispanic/Latin,0.056054821,0.346446705,0.23050805,-0.308832321,-0.296172568,-0.339746736,-0.234210421,-0.3114569,0.116860637,0.0274592,-0.054238954,-0.019656423,-0.355685945,0.026720563,0.016755008,-0.004201268,-0.037005081,0.045114965,-0.473969372
Race.Asian,0.04069881,0.124169479,0.111498855,0.073880475,0.158577765,-0.197283683,-0.461223868,0.667101713,-0.058902603,0.144465005,0.25368953,0.148984188,0.227729041,-0.033790687,0.05164817,-0.011476175,-0.02143535,0.026133034,-0.274548764
